"hotel_id","hbg_code","airport_code"
1546011,"102239","LON"
1546153,"626261","LON"
1546212,"154045","LON"
1546726,"107825","LON"
1546963,"170177","LON"
1549591,"313572","LON"
1549944,"558103","LON"
1550381,"107825","LON"
1551757,"17126","LON"
1552573,"125353","LON"
1553311,"202060","LON"
1553405,"314318","LON"
1555429,"608057","LON"
1555442,"70989","LON"
1555453,"7566","LON"
1555457,"77690","LON"
1555461,"6616","LON"
1555466,"6554","LON"
1555474,"7573","LON"
1555476,"7549","LON"
1555598,"16233","LON"
1555609,"172419","LON"
1555677,"556927","LON"
1555713,"411219","LON"
1555715,"521061","LON"
1555893,"38784","LON"
1555933,"29247","LON"
1555942,"14835","LON"
1555957,"107677","LON"
1555958,"27179","LON"
1555970,"106040","LON"
1555971,"228577","LON"
1556323,"111645","LON"
1556326,"156620","LON"
1556328,"232159","LON"
1556332,"13897","LON"
1556337,"193433","LON"
1556339,"38759","LON"
1556340,"9228","LON"
1576282,"368605","LON"
1577851,"6561","LON"
1577856,"6557","LON"
1577857,"6547","LON"
1577858,"6553","LON"
1577859,"6608","LON"
1577860,"6565","LON"
1577862,"6550","LON"
1577863,"6564","LON"
1577870,"6643","LON"
1577872,"6635","LON"
1577873,"6616","LON"
1577874,"6640","LON"
1577875,"6645","LON"
1577876,"6638","LON"
1577877,"6653","LON"
1577881,"6636","LON"
1577880,"6647","LON"
1577871,"6628","LON"
1577884,"6639","LON"
1577885,"6641","LON"
1577887,"6650","LON"
1577888,"6646","LON"
1577889,"6655","LON"
1577898,"7545","LON"
1577903,"7555","LON"
1577905,"7549","LON"
1577906,"7546","LON"
1577908,"7557","LON"
1577913,"7544","LON"
1577914,"7550","LON"
1578068,"13892","LON"
1578072,"13891","LON"
1578073,"13885","LON"
1578074,"13888","LON"
1578075,"13893","LON"
1578076,"14080","LON"
1578080,"13897","LON"
1578081,"13900","LON"
1578082,"16105","LON"
1578085,"16108","LON"
1578086,"16233","LON"
1578087,"14004","LON"
1578089,"13898","LON"
1578090,"14141","LON"
1578091,"14104","LON"
1578094,"16106","LON"
1578096,"6614","LON"
1578097,"7568","LON"
1578099,"7565","LON"
1578101,"7563","LON"
1578102,"7572","LON"
1578104,"7560","LON"
1578106,"6615","LON"
1578109,"7564","LON"
1578111,"7561","LON"
1578112,"7570","LON"
1578113,"7566","LON"
1578114,"7573","LON"
1578141,"8898","LON"
1578154,"9472","LON"
1578159,"9474","LON"
1578162,"9227","LON"
1578143,"9221","LON"
1578149,"8899","LON"
1578173,"9016","LON"
1578174,"9476","LON"
1578361,"14917","LON"
1578362,"14406","LON"
